,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[3456, 2]",49.478,1.167,47.497,51.885,0.018,0.013,4204.0,1575.0,1.0
"mu[3457, 0]",4.093,0.081,3.925,4.234,0.001,0.001,5196.0,1541.0,1.0
"mu[3457, 1]",25.934,0.931,24.287,27.729,0.013,0.009,5534.0,1415.0,1.0
"mu[3457, 2]",52.918,1.136,50.956,55.27,0.018,0.013,3940.0,1530.0,1.0
"mu[3458, 0]",4.137,0.081,3.993,4.3,0.001,0.001,5690.0,1320.0,1.0
"mu[3458, 1]",25.385,0.935,23.598,27.051,0.013,0.009,5178.0,1389.0,1.0
"mu[3458, 2]",51.969,1.133,49.812,54.084,0.017,0.012,4480.0,1559.0,1.0
"mu[3459, 0]",3.957,0.081,3.796,4.102,0.001,0.001,5212.0,1633.0,1.0
"mu[3459, 1]",24.41,0.933,22.792,26.195,0.013,0.009,5719.0,1450.0,1.0
"mu[3459, 2]",51.476,1.212,49.184,53.708,0.017,0.012,4860.0,1797.0,1.0
"mu[3460, 0]",4.699,0.085,4.534,4.853,0.002,0.001,2472.0,1366.0,1.0
"mu[3460, 1]",24.66,0.861,23.046,26.323,0.013,0.009,4590.0,1378.0,1.0
"mu[3460, 2]",43.512,1.065,41.353,45.421,0.017,0.012,3889.0,1510.0,1.0
"mu[3461, 0]",4.793,0.085,4.631,4.95,0.002,0.001,2279.0,1279.0,1.0
"mu[3461, 1]",22.541,0.863,20.914,24.198,0.013,0.009,4725.0,1400.0,1.0
"mu[3461, 2]",45.533,1.128,43.431,47.757,0.018,0.013,3998.0,1399.0,1.0
"mu[3462, 0]",4.815,0.085,4.641,4.962,0.002,0.001,2118.0,1214.0,1.0
"mu[3462, 1]",23.949,0.86,22.355,25.622,0.013,0.009,4461.0,1465.0,1.0
"mu[3462, 2]",48.772,1.163,46.507,50.943,0.019,0.013,3866.0,1425.0,1.0
"mu[3463, 0]",4.846,0.085,4.688,5.008,0.002,0.001,2118.0,1341.0,1.0
"mu[3463, 1]",23.724,0.864,22.165,25.438,0.013,0.009,4671.0,899.0,1.0
"mu[3463, 2]",47.871,1.189,45.616,50.048,0.019,0.014,3766.0,1588.0,1.0
"mu[3464, 0]",4.661,0.085,4.497,4.822,0.002,0.001,2416.0,1320.0,1.0
"mu[3464, 1]",22.472,0.868,20.855,24.132,0.013,0.009,4549.0,950.0,1.0
"mu[3464, 2]",47.63,1.163,45.544,49.964,0.017,0.012,4503.0,1313.0,1.0
"mu[3465, 0]",6.833,0.082,6.677,6.99,0.001,0.001,3013.0,1489.0,1.0
"mu[3465, 1]",23.954,0.894,22.169,25.608,0.012,0.009,5232.0,1426.0,1.0
"mu[3465, 2]",43.961,1.153,41.807,46.12,0.018,0.012,4244.0,1237.0,1.0
"mu[3466, 0]",6.933,0.082,6.776,7.086,0.002,0.001,2860.0,1307.0,1.0
"mu[3466, 1]",22.051,0.889,20.296,23.726,0.012,0.009,5067.0,1323.0,1.0
"mu[3466, 2]",46.312,1.22,44.011,48.549,0.019,0.013,4099.0,1193.0,1.0
"mu[3467, 0]",6.948,0.083,6.784,7.092,0.002,0.001,2952.0,1432.0,1.0
"mu[3467, 1]",23.422,0.897,21.773,25.173,0.013,0.009,4466.0,1329.0,1.0
"mu[3467, 2]",49.403,1.227,47.105,51.658,0.018,0.013,4576.0,1431.0,1.0
"mu[3468, 0]",6.971,0.082,6.824,7.136,0.002,0.001,2733.0,1432.0,1.0
"mu[3468, 1]",23.07,0.893,21.389,24.784,0.012,0.009,5340.0,1407.0,1.0
"mu[3468, 2]",48.647,1.205,46.455,50.87,0.018,0.013,4387.0,1728.0,1.0
"mu[3469, 0]",6.805,0.082,6.648,6.957,0.002,0.001,2911.0,1352.0,1.0
"mu[3469, 1]",21.885,0.89,20.083,23.478,0.012,0.009,5149.0,1338.0,1.0
"mu[3469, 2]",47.973,1.221,45.735,50.257,0.018,0.013,4727.0,1525.0,1.0
"mu[3470, 0]",5.229,0.08,5.082,5.382,0.001,0.001,5093.0,1098.0,1.0
"mu[3470, 1]",25.438,0.868,23.844,27.13,0.013,0.009,4523.0,1226.0,1.0
"mu[3470, 2]",45.838,1.044,43.759,47.734,0.017,0.012,3585.0,1437.0,1.0
"mu[3471, 0]",5.322,0.08,5.161,5.463,0.001,0.001,4936.0,993.0,1.0
"mu[3471, 1]",23.074,0.873,21.468,24.794,0.013,0.009,4526.0,1496.0,1.0
"mu[3471, 2]",48.34,1.141,46.211,50.476,0.018,0.013,3874.0,1652.0,1.0
"mu[3472, 0]",5.354,0.08,5.208,5.506,0.001,0.001,5251.0,1085.0,1.01
"mu[3472, 1]",24.482,0.875,22.814,26.148,0.013,0.009,4768.0,1231.0,1.0
"mu[3472, 2]",51.478,1.13,49.455,53.662,0.02,0.014,3058.0,1414.0,1.0
"mu[3473, 0]",5.381,0.08,5.223,5.521,0.001,0.001,5210.0,1127.0,1.0
"mu[3473, 1]",24.226,0.874,22.633,25.911,0.013,0.009,4546.0,1226.0,1.0
"mu[3473, 2]",50.703,1.155,48.456,52.86,0.019,0.014,3649.0,1335.0,1.0
"mu[3474, 0]",5.215,0.081,5.051,5.352,0.001,0.001,4906.0,1073.0,1.0
"mu[3474, 1]",22.827,0.871,21.27,24.52,0.013,0.009,4380.0,1503.0,1.0
"mu[3474, 2]",49.818,1.127,47.768,52.046,0.018,0.013,3837.0,1593.0,1.0
"mu[3475, 0]",6.049,0.08,5.901,6.197,0.001,0.001,3153.0,1612.0,1.0
"mu[3475, 1]",25.307,0.913,23.599,26.968,0.014,0.01,4091.0,1378.0,1.0
"mu[3475, 2]",45.873,1.068,43.973,47.921,0.017,0.012,3829.0,1521.0,1.0
"mu[3476, 0]",6.17,0.08,6.026,6.317,0.001,0.001,3294.0,1640.0,1.0
"mu[3476, 1]",23.121,0.918,21.458,24.87,0.014,0.01,4155.0,1440.0,1.0
"mu[3476, 2]",47.947,1.109,45.834,49.963,0.018,0.012,3972.0,1612.0,1.0
"mu[3477, 0]",6.189,0.08,6.028,6.325,0.001,0.001,3322.0,1380.0,1.0
"mu[3477, 1]",24.582,0.916,22.836,26.212,0.014,0.01,4134.0,1236.0,1.0
"mu[3477, 2]",50.842,1.104,48.714,52.882,0.018,0.013,3663.0,1494.0,1.0
"mu[3478, 0]",6.21,0.08,6.059,6.355,0.001,0.001,3410.0,1586.0,1.0
"mu[3478, 1]",24.294,0.926,22.564,26.026,0.014,0.01,4070.0,1463.0,1.0
"mu[3478, 2]",50.089,1.108,47.985,52.221,0.017,0.012,3993.0,1610.0,1.0
"mu[3479, 0]",6.034,0.08,5.89,6.186,0.001,0.001,3209.0,1524.0,1.0
"mu[3479, 1]",23.196,0.932,21.527,25.001,0.014,0.01,4187.0,1286.0,1.0
"mu[3479, 2]",49.541,1.113,47.591,51.748,0.019,0.013,3541.0,1436.0,1.0
"mu[3480, 0]",4.107,0.079,3.939,4.239,0.001,0.001,4142.0,1385.0,1.0
"mu[3480, 1]",24.147,0.857,22.553,25.785,0.013,0.009,4439.0,1353.0,1.01
"mu[3480, 2]",46.873,1.108,44.864,48.93,0.017,0.012,4465.0,1466.0,1.01
"mu[3481, 0]",4.171,0.081,4.022,4.321,0.001,0.001,4320.0,1373.0,1.0
"mu[3481, 1]",22.613,0.853,21.085,24.25,0.012,0.009,4663.0,1557.0,1.0
"mu[3481, 2]",49.357,1.208,47.179,51.685,0.017,0.012,5286.0,1463.0,1.0
"mu[3482, 0]",4.199,0.08,4.048,4.344,0.001,0.001,4219.0,1344.0,1.0
"mu[3482, 1]",24.23,0.854,22.634,25.865,0.013,0.009,4142.0,1482.0,1.0
"mu[3482, 2]",52.797,1.181,50.749,55.067,0.018,0.012,4564.0,1661.0,1.01
"mu[3483, 0]",4.243,0.079,4.093,4.383,0.001,0.001,4189.0,1413.0,1.0
"mu[3483, 1]",23.681,0.861,22.021,25.263,0.013,0.009,4232.0,1448.0,1.0
"mu[3483, 2]",51.849,1.161,49.812,54.11,0.016,0.012,5039.0,1539.0,1.0
"mu[3484, 0]",4.063,0.08,3.911,4.212,0.001,0.001,4303.0,1284.0,1.0
"mu[3484, 1]",22.706,0.848,21.107,24.28,0.013,0.009,4234.0,1448.0,1.0
"mu[3484, 2]",51.356,1.2,49.042,53.463,0.017,0.012,4957.0,1392.0,1.0
"mu[3485, 0]",5.418,0.078,5.269,5.56,0.001,0.001,5052.0,1475.0,1.0
"mu[3485, 1]",24.964,0.904,23.34,26.678,0.014,0.01,4305.0,1353.0,1.0
"mu[3485, 2]",46.914,1.131,44.791,49.029,0.019,0.013,3700.0,1268.0,1.0
"mu[3486, 0]",5.483,0.078,5.332,5.62,0.001,0.001,5438.0,1497.0,1.0
"mu[3486, 1]",23.43,0.912,21.668,25.062,0.015,0.01,3969.0,1534.0,1.0
"mu[3486, 2]",49.399,1.221,47.191,51.649,0.019,0.013,4264.0,1404.0,1.0
"mu[3487, 0]",5.511,0.078,5.367,5.656,0.001,0.001,5626.0,1394.0,1.0
"mu[3487, 1]",25.047,0.91,23.389,26.797,0.014,0.01,4010.0,1508.0,1.0
"mu[3487, 2]",52.839,1.226,50.54,55.086,0.019,0.013,4190.0,1583.0,1.0
"mu[3488, 0]",5.555,0.078,5.415,5.703,0.001,0.001,4878.0,1342.0,1.0
"mu[3488, 1]",24.499,0.918,22.694,26.11,0.014,0.01,4071.0,1640.0,1.0
"mu[3488, 2]",51.89,1.213,49.607,54.192,0.019,0.014,3914.0,1591.0,1.01
"mu[3489, 0]",5.375,0.079,5.232,5.521,0.001,0.001,4238.0,1427.0,1.0
"mu[3489, 1]",23.523,0.908,21.836,25.211,0.014,0.01,4039.0,1568.0,1.0
"mu[3489, 2]",51.397,1.187,49.158,53.625,0.019,0.013,4087.0,1581.0,1.0
"mu[3490, 0]",4.686,0.077,4.539,4.819,0.001,0.001,3317.0,1254.0,1.0
"mu[3490, 1]",25.834,0.875,24.206,27.444,0.015,0.011,3431.0,1177.0,1.0
"mu[3490, 2]",44.509,1.079,42.466,46.472,0.018,0.012,3741.0,1609.0,1.0
"mu[3491, 0]",4.786,0.078,4.644,4.925,0.001,0.001,3482.0,1355.0,1.0
"mu[3491, 1]",23.932,0.895,22.23,25.579,0.015,0.011,3455.0,1311.0,1.0
"mu[3491, 2]",46.86,1.207,44.716,49.201,0.02,0.014,3816.0,1394.0,1.0
"mu[3492, 0]",4.801,0.078,4.658,4.945,0.001,0.001,3219.0,1336.0,1.0
"mu[3492, 1]",25.302,0.889,23.555,26.876,0.015,0.011,3452.0,1223.0,1.0
"mu[3492, 2]",49.951,1.15,47.792,52.153,0.018,0.013,4064.0,1460.0,1.0
"mu[3493, 0]",4.824,0.078,4.677,4.961,0.001,0.001,3749.0,1235.0,1.0
"mu[3493, 1]",24.95,0.891,23.25,26.573,0.015,0.011,3432.0,1151.0,1.0
"mu[3493, 2]",49.195,1.172,47.182,51.645,0.02,0.014,3382.0,1559.0,1.0
"mu[3494, 0]",4.658,0.078,4.512,4.796,0.001,0.001,3460.0,1295.0,1.0
"mu[3494, 1]",23.765,0.89,22.196,25.587,0.015,0.011,3390.0,1332.0,1.0
"mu[3494, 2]",48.521,1.15,46.38,50.69,0.02,0.014,3385.0,1611.0,1.0
"mu[3495, 0]",6.555,0.077,6.412,6.695,0.001,0.001,4618.0,1483.0,1.0
"mu[3495, 1]",25.378,0.911,23.592,26.918,0.014,0.01,4252.0,1585.0,1.0
"mu[3495, 2]",45.625,1.04,43.639,47.581,0.017,0.012,3869.0,1398.0,1.0
"mu[3496, 0]",6.649,0.077,6.502,6.79,0.001,0.001,4380.0,1497.0,1.0
"mu[3496, 1]",23.015,0.909,21.375,24.709,0.014,0.01,4458.0,1432.0,1.0
"mu[3496, 2]",48.127,1.123,45.905,50.114,0.018,0.013,3828.0,1235.0,1.0
"mu[3497, 0]",6.68,0.077,6.537,6.828,0.001,0.001,4382.0,1535.0,1.0
"mu[3497, 1]",24.422,0.911,22.826,26.154,0.014,0.01,4294.0,1438.0,1.0
"mu[3497, 2]",51.266,1.147,49.14,53.347,0.019,0.013,3783.0,1355.0,1.0
"mu[3498, 0]",6.707,0.077,6.558,6.845,0.001,0.001,5087.0,1477.0,1.0
"mu[3498, 1]",24.166,0.916,22.471,25.846,0.014,0.01,4489.0,1410.0,1.0
"mu[3498, 2]",50.491,1.131,48.334,52.457,0.019,0.013,3547.0,1590.0,1.0
"mu[3499, 0]",6.542,0.077,6.406,6.686,0.001,0.001,4783.0,1607.0,1.0
"mu[3499, 1]",22.768,0.91,21.045,24.419,0.014,0.01,4560.0,1283.0,1.0
"mu[3499, 2]",49.606,1.157,47.329,51.692,0.018,0.013,4287.0,1510.0,1.0
"mu[3500, 0]",5.252,0.084,5.096,5.41,0.002,0.001,2237.0,1376.0,1.0
"mu[3500, 1]",25.594,0.901,23.976,27.311,0.015,0.011,3388.0,1230.0,1.0
"mu[3500, 2]",45.359,1.101,43.123,47.282,0.016,0.011,4749.0,1585.0,1.0
"mu[3501, 0]",5.354,0.083,5.201,5.509,0.002,0.001,2291.0,1278.0,1.0
"mu[3501, 1]",22.679,0.913,20.879,24.298,0.016,0.011,3335.0,1161.0,1.0
"mu[3501, 2]",47.688,1.176,45.588,49.936,0.018,0.012,4475.0,1159.0,1.0
"mu[3502, 0]",5.379,0.084,5.216,5.533,0.002,0.001,2369.0,1505.0,1.0
"mu[3502, 1]",24.237,0.908,22.393,25.836,0.016,0.011,3321.0,1463.0,1.0
"mu[3502, 2]",50.923,1.185,48.546,53.056,0.018,0.013,4430.0,1468.0,1.0
"mu[3503, 0]",5.408,0.084,5.25,5.56,0.002,0.001,2327.0,1345.0,1.0
"mu[3503, 1]",23.961,0.907,22.224,25.611,0.016,0.011,3345.0,1201.0,1.0
"mu[3503, 2]",49.972,1.154,47.88,52.119,0.018,0.013,4028.0,1442.0,1.0
"mu[3504, 0]",5.217,0.083,5.052,5.362,0.002,0.001,2370.0,1510.0,1.0
"mu[3504, 1]",22.644,0.917,21.089,24.554,0.016,0.011,3421.0,1410.0,1.0
"mu[3504, 2]",49.469,1.186,47.353,51.78,0.016,0.011,5755.0,1522.0,1.0
"mu[3505, 0]",5.493,0.075,5.337,5.626,0.001,0.001,5039.0,1678.0,1.0
"mu[3505, 1]",25.361,0.913,23.553,26.932,0.013,0.009,5089.0,1395.0,1.0
"mu[3505, 2]",44.828,1.08,42.739,46.778,0.018,0.013,3623.0,1554.0,1.0
"mu[3506, 0]",5.595,0.076,5.448,5.737,0.001,0.001,5082.0,1590.0,1.0
"mu[3506, 1]",22.446,0.921,20.673,24.154,0.013,0.009,4800.0,1531.0,1.0
"mu[3506, 2]",47.157,1.178,44.876,49.29,0.019,0.013,3947.0,1438.0,1.0
"mu[3507, 0]",5.62,0.076,5.476,5.764,0.001,0.001,5165.0,1657.0,1.0
"mu[3507, 1]",24.004,0.918,22.258,25.694,0.013,0.009,5221.0,1461.0,1.0
"mu[3507, 2]",50.392,1.149,48.22,52.462,0.019,0.013,3840.0,1416.0,1.0
"mu[3508, 0]",5.649,0.076,5.493,5.786,0.001,0.001,4898.0,1540.0,1.0
"mu[3508, 1]",23.729,0.915,22.018,25.432,0.013,0.009,4764.0,1491.0,1.0
"mu[3508, 2]",49.441,1.139,47.217,51.412,0.018,0.013,4075.0,1262.0,1.0
"mu[3509, 0]",5.458,0.076,5.315,5.601,0.001,0.001,5270.0,1653.0,1.0
"mu[3509, 1]",22.412,0.921,20.835,24.257,0.013,0.009,4779.0,1434.0,1.0
"mu[3509, 2]",48.938,1.149,46.795,51.055,0.018,0.013,3923.0,1355.0,1.0
"mu[3510, 0]",7.27,0.079,7.116,7.419,0.001,0.001,3502.0,1435.0,1.0
"mu[3510, 1]",25.196,0.89,23.486,26.79,0.013,0.009,4447.0,1111.0,1.0
"mu[3510, 2]",46.31,1.074,44.335,48.373,0.017,0.012,4013.0,1234.0,1.0
"mu[3511, 0]",7.334,0.08,7.172,7.477,0.001,0.001,3106.0,1380.0,1.0
"mu[3511, 1]",23.662,0.898,22.072,25.457,0.013,0.009,4627.0,1264.0,1.0
"mu[3511, 2]",48.794,1.165,46.674,50.975,0.018,0.013,4316.0,1261.0,1.0
"mu[3512, 0]",7.363,0.08,7.191,7.499,0.001,0.001,3362.0,1340.0,1.0
"mu[3512, 1]",25.279,0.887,23.734,27.056,0.013,0.009,4729.0,1274.0,1.0
"mu[3512, 2]",52.234,1.153,49.883,54.331,0.019,0.013,3820.0,1392.0,1.0
"mu[3513, 0]",7.406,0.08,7.256,7.556,0.001,0.001,3368.0,1449.0,1.0
"mu[3513, 1]",24.731,0.889,23.026,26.338,0.013,0.009,4841.0,1206.0,1.0
"mu[3513, 2]",51.286,1.15,49.166,53.559,0.018,0.013,4170.0,1262.0,1.0
"mu[3514, 0]",7.226,0.08,7.076,7.379,0.001,0.001,3289.0,1356.0,1.0
"mu[3514, 1]",23.755,0.893,22.093,25.457,0.012,0.009,5410.0,1131.0,1.0
"mu[3514, 2]",50.793,1.193,48.59,53.023,0.019,0.013,4141.0,1309.0,1.0
"mu[3515, 0]",5.298,0.086,5.15,5.469,0.001,0.001,5348.0,1120.0,1.0
"mu[3515, 1]",23.153,0.887,21.333,24.725,0.012,0.008,5794.0,1454.0,1.0
"mu[3515, 2]",46.508,1.089,44.412,48.607,0.018,0.013,3748.0,1539.0,1.0
"mu[3516, 0]",5.363,0.085,5.21,5.529,0.001,0.001,5199.0,1188.0,1.0
"mu[3516, 1]",21.619,0.885,20.001,23.341,0.012,0.009,5066.0,1565.0,1.0
"mu[3516, 2]",48.992,1.199,46.882,51.332,0.019,0.014,3811.0,1516.0,1.0
"mu[3517, 0]",5.391,0.085,5.227,5.543,0.001,0.001,5475.0,1233.0,1.0
"mu[3517, 1]",23.236,0.88,21.584,24.858,0.012,0.009,5280.0,1614.0,1.0
"mu[3517, 2]",52.432,1.184,50.331,54.704,0.018,0.013,4411.0,1577.0,1.0
"mu[3518, 0]",5.435,0.085,5.286,5.6,0.001,0.001,5273.0,1155.0,1.0
"mu[3518, 1]",22.687,0.884,21.043,24.355,0.011,0.008,6145.0,1552.0,1.0
"mu[3518, 2]",51.484,1.162,49.172,53.564,0.018,0.013,4206.0,1611.0,1.0
"mu[3519, 0]",5.255,0.086,5.098,5.425,0.001,0.001,5238.0,1160.0,1.0
"mu[3519, 1]",21.712,0.881,19.98,23.298,0.011,0.008,6151.0,1538.0,1.0
"mu[3519, 2]",50.991,1.185,48.713,53.206,0.017,0.012,4991.0,1540.0,1.0
"mu[3520, 0]",6.061,0.083,5.914,6.216,0.001,0.001,4072.0,1300.0,1.0
"mu[3520, 1]",24.573,0.888,22.853,26.156,0.014,0.01,3831.0,1274.0,1.0
"mu[3520, 2]",46.008,1.134,43.856,48.055,0.017,0.012,4343.0,1528.0,1.0
"mu[3521, 0]",6.122,0.084,5.973,6.277,0.001,0.001,4220.0,1430.0,1.0
"mu[3521, 1]",22.285,0.891,20.648,23.94,0.014,0.01,4290.0,1244.0,1.0
"mu[3521, 2]",48.299,1.244,46.07,50.764,0.019,0.014,4257.0,1322.0,1.0
"mu[3522, 0]",6.149,0.083,6.0,6.303,0.001,0.001,4126.0,1280.0,1.0
"mu[3522, 1]",23.624,0.89,21.95,25.208,0.014,0.01,4122.0,1308.0,1.0
"mu[3522, 2]",51.578,1.229,49.327,53.884,0.018,0.013,4703.0,1499.0,1.0
"mu[3523, 0]",6.177,0.083,6.027,6.333,0.001,0.001,4118.0,1291.0,1.0
"mu[3523, 1]",23.404,0.899,21.675,25.003,0.015,0.01,3847.0,1370.0,1.0
"mu[3523, 2]",50.771,1.227,48.357,52.883,0.019,0.013,4343.0,1533.0,1.0
"mu[3524, 0]",6.017,0.084,5.869,6.177,0.001,0.001,4151.0,1282.0,1.0
"mu[3524, 1]",22.161,0.888,20.424,23.749,0.015,0.01,3762.0,1413.0,1.0
"mu[3524, 2]",50.223,1.198,48.071,52.537,0.019,0.014,3881.0,1277.0,1.01
"mu[3525, 0]",6.448,0.081,6.295,6.592,0.001,0.001,4381.0,1435.0,1.0
"mu[3525, 1]",23.856,0.858,22.148,25.402,0.013,0.009,4682.0,1221.0,1.0
"mu[3525, 2]",45.048,1.16,42.826,47.197,0.016,0.011,5201.0,1437.0,1.0
"mu[3526, 0]",6.549,0.081,6.393,6.696,0.001,0.001,4668.0,1440.0,1.0
"mu[3526, 1]",20.941,0.874,19.323,22.649,0.013,0.009,4688.0,1366.0,1.0
"mu[3526, 2]",47.377,1.221,45.044,49.636,0.018,0.013,4607.0,1422.0,1.0
"mu[3527, 0]",6.575,0.081,6.427,6.729,0.001,0.001,4791.0,1411.0,1.0
"mu[3527, 1]",22.499,0.869,20.703,24.052,0.013,0.009,4706.0,1239.0,1.0
"mu[3527, 2]",50.613,1.235,48.286,52.845,0.017,0.012,5182.0,1548.0,1.0
"mu[3528, 0]",6.604,0.082,6.453,6.758,0.001,0.001,4860.0,1520.0,1.0
"mu[3528, 1]",22.224,0.866,20.509,23.878,0.013,0.009,4681.0,1040.0,1.0
"mu[3528, 2]",49.662,1.234,47.329,52.002,0.018,0.013,4493.0,1579.0,1.0
"mu[3529, 0]",6.412,0.082,6.263,6.563,0.001,0.001,4653.0,1636.0,1.0
"mu[3529, 1]",20.907,0.87,19.251,22.564,0.013,0.009,4776.0,1263.0,1.0
"mu[3529, 2]",49.159,1.244,46.858,51.317,0.018,0.013,5035.0,1607.0,1.0
"mu[3530, 0]",3.612,0.082,3.463,3.766,0.002,0.001,2499.0,1496.0,1.0
"mu[3530, 1]",25.927,0.893,24.15,27.429,0.014,0.01,3896.0,1280.0,1.0
"mu[3530, 2]",45.235,1.09,43.225,47.239,0.016,0.011,4888.0,1336.0,1.0
"mu[3531, 0]",3.714,0.082,3.568,3.873,0.002,0.001,2626.0,1308.0,1.0
"mu[3531, 1]",23.013,0.893,21.386,24.705,0.014,0.01,4282.0,1438.0,1.0
"mu[3531, 2]",47.564,1.186,45.263,49.778,0.017,0.012,5144.0,1309.0,1.0
"mu[3532, 0]",3.739,0.082,3.589,3.893,0.002,0.001,2766.0,1423.0,1.0
"mu[3532, 1]",24.57,0.898,22.999,26.362,0.014,0.01,4006.0,1385.0,1.0
"mu[3532, 2]",50.8,1.179,48.535,52.899,0.016,0.012,5211.0,1421.0,1.01
"mu[3533, 0]",3.768,0.081,3.602,3.907,0.002,0.001,2617.0,1345.0,1.0
"mu[3533, 1]",24.295,0.889,22.546,25.857,0.014,0.01,3955.0,1507.0,1.0
"mu[3533, 2]",49.849,1.137,47.645,51.868,0.017,0.012,4529.0,1162.0,1.01
"mu[3534, 0]",3.576,0.083,3.426,3.736,0.002,0.001,2891.0,1348.0,1.0
"mu[3534, 1]",22.978,0.895,21.18,24.538,0.015,0.01,3729.0,1342.0,1.0
"mu[3534, 2]",49.346,1.181,47.096,51.457,0.016,0.012,5237.0,1311.0,1.0
"mu[3535, 0]",4.978,0.081,4.83,5.134,0.001,0.001,3829.0,1357.0,1.0
"mu[3535, 1]",25.041,0.849,23.468,26.646,0.012,0.009,4852.0,1261.0,1.01
"mu[3535, 2]",44.439,1.109,42.409,46.495,0.02,0.014,3197.0,1282.0,1.0
"mu[3536, 0]",5.077,0.082,4.918,5.226,0.001,0.001,3869.0,1272.0,1.0
"mu[3536, 1]",23.138,0.85,21.476,24.597,0.012,0.009,4694.0,1246.0,1.0
"mu[3536, 2]",46.79,1.21,44.443,48.921,0.021,0.015,3364.0,1675.0,1.0
"mu[3537, 0]",5.092,0.081,4.94,5.243,0.001,0.001,3902.0,1334.0,1.0
"mu[3537, 1]",24.509,0.849,22.935,26.064,0.012,0.008,5185.0,1580.0,1.0
"mu[3537, 2]",49.882,1.177,47.607,51.992,0.02,0.014,3626.0,1539.0,1.0
"mu[3538, 0]",5.115,0.081,4.965,5.269,0.001,0.001,3758.0,1439.0,1.0
"mu[3538, 1]",24.157,0.847,22.621,25.735,0.013,0.009,4548.0,1489.0,1.01
"mu[3538, 2]",49.125,1.184,46.981,51.339,0.02,0.014,3591.0,1471.0,1.0
"mu[3539, 0]",4.949,0.081,4.793,5.097,0.001,0.001,3995.0,1391.0,1.0
"mu[3539, 1]",22.972,0.856,21.384,24.556,0.012,0.009,4797.0,1404.0,1.01
"mu[3539, 2]",48.451,1.19,46.24,50.679,0.019,0.013,4094.0,1554.0,1.0
"mu[3540, 0]",7.3,0.079,7.145,7.443,0.001,0.001,2837.0,1634.0,1.0
"mu[3540, 1]",23.931,0.887,22.215,25.546,0.014,0.01,4224.0,1337.0,1.01
"mu[3540, 2]",46.283,1.103,44.175,48.269,0.019,0.014,3340.0,1653.0,1.0
"mu[3541, 0]",7.365,0.08,7.212,7.512,0.002,0.001,2485.0,1507.0,1.0
"mu[3541, 1]",22.397,0.889,20.671,23.994,0.014,0.01,4095.0,1368.0,1.01
"mu[3541, 2]",48.768,1.233,46.564,51.001,0.02,0.014,3691.0,1531.0,1.0
"mu[3542, 0]",7.393,0.08,7.241,7.54,0.002,0.001,2731.0,1314.0,1.0
"mu[3542, 1]",24.014,0.894,22.374,25.753,0.013,0.009,4703.0,1266.0,1.01
"mu[3542, 2]",52.207,1.188,49.983,54.467,0.02,0.015,3382.0,1513.0,1.0
"mu[3543, 0]",7.437,0.08,7.286,7.587,0.002,0.001,2688.0,1454.0,1.0
"mu[3543, 1]",23.466,0.903,21.804,25.141,0.013,0.009,4759.0,1306.0,1.01
"mu[3543, 2]",51.259,1.217,48.791,53.354,0.02,0.014,3648.0,1427.0,1.0
"mu[3544, 0]",7.257,0.08,7.106,7.406,0.002,0.001,2717.0,1463.0,1.0
"mu[3544, 1]",22.49,0.893,20.866,24.192,0.014,0.01,4180.0,1281.0,1.01
"mu[3544, 2]",50.766,1.189,48.495,52.945,0.02,0.014,3735.0,1665.0,1.0
"mu[3545, 0]",9.017,0.08,8.875,9.171,0.002,0.001,2859.0,1547.0,1.0
"mu[3545, 1]",24.775,0.924,22.921,26.416,0.013,0.009,4836.0,1470.0,1.0
"mu[3545, 2]",43.737,1.075,41.665,45.68,0.017,0.012,3993.0,1529.0,1.0
"mu[3546, 0]",9.111,0.081,8.966,9.268,0.002,0.001,2778.0,1576.0,1.0
"mu[3546, 1]",22.657,0.924,20.868,24.319,0.014,0.01,4390.0,1532.0,1.0
"mu[3546, 2]",45.759,1.158,43.664,48.04,0.019,0.013,3695.0,1619.0,1.0
"mu[3547, 0]",9.133,0.081,8.988,9.289,0.002,0.001,2795.0,1409.0,1.0
"mu[3547, 1]",24.064,0.927,22.342,25.785,0.013,0.009,4857.0,1429.0,1.0
"mu[3547, 2]",48.997,1.184,46.734,51.167,0.019,0.013,3907.0,1565.0,1.0
"mu[3548, 0]",9.164,0.081,9.015,9.315,0.002,0.001,2653.0,1504.0,1.0
"mu[3548, 1]",23.84,0.926,22.035,25.487,0.013,0.009,5003.0,1634.0,1.0
"mu[3548, 2]",48.096,1.182,45.782,50.17,0.019,0.014,3731.0,1534.0,1.0
"mu[3549, 0]",8.979,0.081,8.835,9.13,0.002,0.001,2847.0,1427.0,1.0
"mu[3549, 1]",22.588,0.927,20.848,24.295,0.014,0.01,4651.0,1321.0,1.0
"mu[3549, 2]",47.855,1.17,45.592,49.981,0.018,0.013,4377.0,1552.0,1.0
"mu[3550, 0]",6.386,0.082,6.223,6.533,0.001,0.001,4101.0,1394.0,1.0
"mu[3550, 1]",25.883,0.895,24.137,27.522,0.013,0.009,5078.0,1389.0,1.0
"mu[3550, 2]",44.388,1.068,42.454,46.495,0.017,0.012,3766.0,1476.0,1.0
"mu[3551, 0]",6.488,0.083,6.321,6.633,0.001,0.001,4116.0,1461.0,1.0
