,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[10180, 1]",25.452,0.875,23.777,27.048,0.014,0.01,3909.0,1386.0,1.0
"mu[10180, 2]",45.966,1.102,43.907,48.045,0.016,0.011,4677.0,1675.0,1.0
"mu[10181, 0]",3.021,0.081,2.864,3.161,0.001,0.001,4381.0,1364.0,1.0
"mu[10181, 1]",23.089,0.868,21.428,24.629,0.013,0.01,4173.0,1608.0,1.0
"mu[10181, 2]",48.469,1.146,46.399,50.594,0.018,0.013,4185.0,1690.0,1.0
"mu[10182, 0]",3.052,0.081,2.902,3.209,0.001,0.001,4110.0,1311.0,1.0
"mu[10182, 1]",24.496,0.871,22.904,26.111,0.014,0.01,3871.0,1591.0,1.0
"mu[10182, 2]",51.607,1.158,49.498,53.785,0.017,0.012,4476.0,1491.0,1.0
"mu[10183, 0]",3.079,0.081,2.93,3.232,0.001,0.001,4219.0,1291.0,1.0
"mu[10183, 1]",24.24,0.872,22.563,25.858,0.014,0.01,3747.0,1653.0,1.0
"mu[10183, 2]",50.832,1.198,48.683,53.049,0.017,0.012,4757.0,1603.0,1.0
"mu[10184, 0]",2.914,0.081,2.756,3.056,0.001,0.001,4151.0,1179.0,1.0
"mu[10184, 1]",22.842,0.88,21.117,24.378,0.014,0.01,3978.0,1629.0,1.0
"mu[10184, 2]",49.947,1.157,47.853,52.205,0.017,0.012,4796.0,1610.0,1.0
"mu[10185, 0]",6.743,0.08,6.585,6.887,0.001,0.001,4929.0,1589.0,1.0
"mu[10185, 1]",23.099,0.895,21.472,24.716,0.012,0.009,5191.0,1388.0,1.0
"mu[10185, 2]",46.805,1.116,44.67,48.885,0.018,0.013,3761.0,1442.0,1.0
"mu[10186, 0]",6.808,0.08,6.664,6.964,0.001,0.001,4566.0,1578.0,1.0
"mu[10186, 1]",21.565,0.903,19.91,23.183,0.013,0.009,4677.0,1587.0,1.0
"mu[10186, 2]",49.289,1.221,46.825,51.472,0.019,0.013,4194.0,1464.0,1.0
"mu[10187, 0]",6.836,0.079,6.684,6.983,0.001,0.001,4872.0,1518.0,1.0
"mu[10187, 1]",23.182,0.899,21.595,24.807,0.012,0.009,5262.0,1587.0,1.0
"mu[10187, 2]",52.729,1.143,50.637,54.975,0.017,0.012,4518.0,1178.0,1.0
"mu[10188, 0]",6.88,0.081,6.725,7.03,0.001,0.001,5005.0,1639.0,1.0
"mu[10188, 1]",22.633,0.905,21.044,24.321,0.013,0.009,5017.0,1524.0,1.0
"mu[10188, 2]",51.781,1.229,49.534,54.105,0.018,0.013,4792.0,1363.0,1.0
"mu[10189, 0]",6.7,0.08,6.556,6.853,0.001,0.001,5016.0,1435.0,1.0
"mu[10189, 1]",21.658,0.905,19.993,23.283,0.013,0.009,4738.0,1482.0,1.0
"mu[10189, 2]",51.288,1.218,49.014,53.556,0.018,0.013,4618.0,1427.0,1.0
"mu[10190, 0]",5.811,0.082,5.669,5.977,0.001,0.001,3498.0,1564.0,1.0
"mu[10190, 1]",25.83,0.86,24.387,27.607,0.013,0.009,4212.0,1386.0,1.0
"mu[10190, 2]",44.898,1.101,43.031,47.189,0.018,0.013,3771.0,1652.0,1.0
"mu[10191, 0]",5.913,0.083,5.764,6.07,0.001,0.001,3879.0,1558.0,1.0
"mu[10191, 1]",22.915,0.872,21.354,24.598,0.013,0.009,4652.0,1599.0,1.0
"mu[10191, 2]",47.226,1.165,45.035,49.396,0.018,0.013,4324.0,1850.0,1.0
"mu[10192, 0]",5.938,0.082,5.786,6.092,0.001,0.001,3875.0,1439.0,1.0
