Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,53618,40-49,Female,Southeast Asian,2016 Zhang,0.3459237515926361,ARNIQA,False
train,81400,40-49,Female,Southeast Asian,2016 Zhang,0.32555267214775085,ARNIQA,False
train,41154,40-49,Female,Southeast Asian,2016 Zhang,0.3048083484172821,ARNIQA,False
train,66138,40-49,Female,Southeast Asian,2016 Zhang,0.3642387092113495,ARNIQA,False
train,75997,40-49,Female,Southeast Asian,2016 Zhang,0.6582308411598206,ARNIQA,False
train,62194,40-49,Female,Southeast Asian,2016 Zhang,0.2897161543369293,ARNIQA,False
train,70469,40-49,Female,Southeast Asian,2016 Zhang,0.5997135043144226,ARNIQA,False
val,1051,40-49,Female,Southeast Asian,2016 Zhang,0.276811420917511,ARNIQA,False
train,6908,40-49,Female,Southeast Asian,2016 Zhang,0.6179441213607788,ARNIQA,False
train,16059,40-49,Female,Southeast Asian,2016 Zhang,0.2967815101146698,ARNIQA,False
val,4070,40-49,Female,Southeast Asian,2016 Zhang,0.5459479689598083,ARNIQA,False
train,50025,40-49,Female,Southeast Asian,2016 Zhang,0.5720542073249817,ARNIQA,False
train,16884,40-49,Female,Southeast Asian,2016 Zhang,0.48391279578208923,ARNIQA,False
train,86524,more than 70,Male,Latino_Hispanic,2016 Zhang,0.5930831432342529,ARNIQA,False
train,9833,more than 70,Male,Latino_Hispanic,2016 Zhang,0.5722127556800842,ARNIQA,False
train,31772,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6515951156616211,ARNIQA,False
train,25841,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6545444130897522,ARNIQA,False
train,39940,more than 70,Male,Latino_Hispanic,2016 Zhang,0.33435383439064026,ARNIQA,False
train,44405,more than 70,Male,Latino_Hispanic,2016 Zhang,0.5353202223777771,ARNIQA,False
train,85067,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6269804239273071,ARNIQA,False
train,41597,more than 70,Male,Latino_Hispanic,2016 Zhang,0.4517335891723633,ARNIQA,False
train,52306,more than 70,Male,Latino_Hispanic,2016 Zhang,0.343202143907547,ARNIQA,False
train,448,more than 70,Male,Latino_Hispanic,2016 Zhang,0.38203972578048706,ARNIQA,False
train,32341,more than 70,Male,Latino_Hispanic,2016 Zhang,0.5690562129020691,ARNIQA,False
train,35200,more than 70,Male,Latino_Hispanic,2016 Zhang,0.45661765336990356,ARNIQA,False
train,31117,more than 70,Male,Latino_Hispanic,2016 Zhang,0.64878249168396,ARNIQA,False
train,74674,more than 70,Male,Latino_Hispanic,2016 Zhang,0.36948248744010925,ARNIQA,False
train,56381,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6325496435165405,ARNIQA,False
train,28890,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6028298139572144,ARNIQA,False
train,36649,more than 70,Male,Latino_Hispanic,2016 Zhang,0.5872198343276978,ARNIQA,False
train,54625,more than 70,Male,Latino_Hispanic,2016 Zhang,0.7022092938423157,ARNIQA,False
train,43370,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6104082465171814,ARNIQA,False
train,85718,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6588523387908936,ARNIQA,False
train,10405,more than 70,Male,Latino_Hispanic,2016 Zhang,0.6232956647872925,ARNIQA,False
train,41841,more than 70,Male,Latino_Hispanic,2016 Zhang,0.4911537170410156,ARNIQA,False
train,85399,60-69,Male,Indian,2016 Zhang,0.3536371886730194,ARNIQA,False
train,10793,60-69,Male,Indian,2016 Zhang,0.40668562054634094,ARNIQA,False
train,15824,60-69,Male,Indian,2016 Zhang,0.2705343961715698,ARNIQA,False
train,69690,60-69,Male,Indian,2016 Zhang,0.2842973470687866,ARNIQA,False
train,174,60-69,Male,Indian,2016 Zhang,0.6586082577705383,ARNIQA,False
train,53647,60-69,Male,Indian,2016 Zhang,0.5638516545295715,ARNIQA,False
train,1660,60-69,Male,Indian,2016 Zhang,0.5322837829589844,ARNIQA,False
val,6447,60-69,Male,Indian,2016 Zhang,0.36621004343032837,ARNIQA,False
train,49928,60-69,Male,Indian,2016 Zhang,0.3494534492492676,ARNIQA,False
train,67354,60-69,Male,Indian,2016 Zhang,0.32360726594924927,ARNIQA,False
train,14594,60-69,Male,Indian,2016 Zhang,0.43509289622306824,ARNIQA,False
train,62611,60-69,Male,Indian,2016 Zhang,0.1832861602306366,ARNIQA,False
train,75804,60-69,Male,Indian,2016 Zhang,0.2772523760795593,ARNIQA,False
train,73049,60-69,Male,Indian,2016 Zhang,0.576694130897522,ARNIQA,False
train,12701,60-69,Male,Indian,2016 Zhang,0.3332219123840332,ARNIQA,False
train,54817,60-69,Male,Indian,2016 Zhang,0.3547050356864929,ARNIQA,False
train,82843,60-69,Male,Indian,2016 Zhang,0.5296894907951355,ARNIQA,False
train,86458,60-69,Male,Indian,2016 Zhang,0.24188968539237976,ARNIQA,False
train,77728,60-69,Male,Indian,2016 Zhang,0.7061120271682739,ARNIQA,False
train,23393,60-69,Male,Indian,2016 Zhang,0.4819231927394867,ARNIQA,False
train,59373,60-69,Male,Indian,2016 Zhang,0.32514864206314087,ARNIQA,False
train,12367,60-69,Male,Indian,2016 Zhang,0.2690106928348541,ARNIQA,False
train,18709,0-2,Male,Middle Eastern,2016 Zhang,0.5814192891120911,ARNIQA,False
train,65279,0-2,Male,Middle Eastern,2016 Zhang,0.6291792392730713,ARNIQA,False
train,43862,0-2,Male,Middle Eastern,2016 Zhang,0.6818060278892517,ARNIQA,False
train,62267,0-2,Male,Middle Eastern,2016 Zhang,0.5338703989982605,ARNIQA,False
train,47811,0-2,Male,Middle Eastern,2016 Zhang,0.6692057251930237,ARNIQA,False
train,16120,0-2,Male,Middle Eastern,2016 Zhang,0.6019008159637451,ARNIQA,False
train,49384,0-2,Male,Middle Eastern,2016 Zhang,0.7000942230224609,ARNIQA,False
val,10616,0-2,Male,Middle Eastern,2016 Zhang,0.4912000000476837,ARNIQA,False
train,25167,0-2,Male,Middle Eastern,2016 Zhang,0.6507511138916016,ARNIQA,False
train,8181,0-2,Male,Middle Eastern,2016 Zhang,0.6260884404182434,ARNIQA,False
train,25598,0-2,Male,Middle Eastern,2016 Zhang,0.5915499329566956,ARNIQA,False
train,47135,0-2,Male,Middle Eastern,2016 Zhang,0.6392663717269897,ARNIQA,False
